,smiles,value
383,CC(C)Oc1ccccc1N1CCN(Cc2cccc(C(=O)N3CCCCC3)c2)CC1,True
386,CC(C)Oc1ccccc1N1CCN(Cc2cccc(CN3CCCCC3=O)c2)CC1,True
389,CC(C)Oc1ccccc1N1CCN(Cc2ccccc2CN2CCCCC2=O)CC1,True
2695,COc1ccccc1N1CCN(CC2COCC(c3ccccc3)(c3ccccc3)O2)CC1,True
2995,COc1ccccc1N1CCN(C[C@H]2OCCOC2(c2ccccc2)c2ccccc2)CC1,False
4155,N#C/N=C(\NCCCN1CCN(c2cccc(Cl)c2)CC1)c1ccncc1,False
1298,CCOc1ccccc1N1CCN(CCCN/C(=N\C#N)c2ccccn2)CC1,False
50,C#Cc1cccn1C1CCN(Cc2ccccc2)CC1,False
56,C(#Cc1cccn1C1CCN(Cc2ccccc2)CC1)c1ccccc1,False
3190,C[Si](C)(C)C#Cc1cccn1C1CCN(Cc2ccccc2)CC1,False
4152,Ic1cccn1C1CCN(Cc2ccccc2)CC1,False
4161,N#CC(C#N)=Cc1cccn1C1CCN(Cc2ccccc2)CC1,False
4162,N#CC(C#N)=Cc1ccn(C2CCN(Cc3ccccc3)CC2)c1,False
5498,O=Cc1cccn1C1CCN(Cc2ccccc2)CC1,False
5499,O=Cc1ccn(C2CCN(Cc3ccccc3)CC2)c1,False
6192,c1ccc(CN2CCC(n3ccc(-c4cnco4)c3)CC2)cc1,False
6194,c1ccc(CN2CCC(n3cccc3-c3cnco3)CC2)cc1,True
51,C(#Cc1ccc2[nH]ccc2c1)CCN1CC=C(c2ccccc2)CC1,True
52,C(#Cc1ccc2c(c1)OCCO2)CCN1CC=C(c2ccccc2)CC1,True
53,C(#Cc1ccc2occc2c1)CCN1CC=C(c2ccccc2)CC1,True
54,C(#Cc1ccccc1)CCN1CC=C(c2ccccc2)CC1,True
55,C(#Cc1ccccn1)CCN1CC=C(c2ccccc2)CC1,True
57,C(#Cc1cccnc1)CCN1CC=C(c2ccccc2)CC1,True
58,C(#Cc1ccncc1)CCN1CC=C(c2ccccc2)CC1,True
59,C(#Cc1cnc2ccccc2c1)CCN1CC=C(c2ccccc2)CC1,True
60,C(#Cc1cncc2ccccc12)CCN1CC=C(c2ccccc2)CC1,True
2243,COc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cc1,True
4293,Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cc1,True
4294,Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cn1,True
4295,Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)nc1,True
4304,Nc1cccc(C#CCCN2CC=C(c3ccccc3)CC2)c1,True
4306,Nc1ccccc1C#CCCN1CC=C(c2ccccc2)CC1,True
6061,Oc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cc1,True
76,C1=C(c2ccccc2)CCN(CCCCc2ccncc2)C1,True
77,C1=C(c2ccccc2)CCN(CCc2c[nH]c3ncccc23)C1,True
78,C1=C(c2ccccc2)CCN(Cc2cn(-c3ccccc3)nn2)C1,True
80,C1=C(c2ccccn2)CCN(CCCCc2ccncc2)C1,True
72,C1=C(c2ccc3ccccc3c2)CCN(CCCCc2ccncc2)C1,True
81,C1=C(c2cccs2)CCN(CCCCc2ccncc2)C1,True
2265,COc1ccc(C2=CCN(CCCCc3ccncc3)CC2)cc1,False
3353,Cc1ccc(C2=CCN(CCCCc3ccncc3)CC2)cc1,True
3742,Clc1ccc(C2=CCN(CCCCc3ccncc3)CC2)cc1,True
4072,Fc1ccc(C2=CCN(CCCCc3ccncc3)CC2)cc1,False
